id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist,duration_min,hot100
6GQLX6Z28fYwDNCrhaKzYF,Undercover Martyn,68,166573,0,['Two Door Cinema Club'],['536BYVgOnRky0xjsPT96zl'],2010-03-01,0.446,0.871,2,-4.902,1,0.116,0.000252,8.13e-06,0.0996,0.612,159.863,4,Two Door Cinema Club,2.7762166666666666,False
6O4QbnxKqUCJMIGJe6rTaN,"Pirouette, cacahouète",44,171147,0,['Chansons Et Comptines'],['4rsK66w6MjGtwI5QnhFt0P'],2010-03-21,0.783,0.619,9,-10.495,1,0.0286,0.492,0.0,0.0613,0.769,140.13,4,Chansons Et Comptines,2.85245,False
04J24gXLrUEYyNmmoJMLNa,Make A Circuit Me,0,176427,0,['The Polecats'],['0ySLj2XiEOFtixInK1GAD4'],2010-12-21,0.353,0.953,0,-7.277,0,0.207,0.000397,0.0763,0.181,0.545,188.355,4,The Polecats,2.94045,False
1PdnoVxzvexOoLkOaTq7KX,Poupata,29,214427,0,"['Michal David', 'Kroky Frantiska Janecka']","['6rA1HqwDyDDRcq6WHTwr2G', '2wMHvKKOWjwp77Qghee5Th']",2010-06-30,0.58,0.694,0,-8.077,1,0.0397,0.0804,0.0,0.0903,0.887,139.607,4,Michal David,3.5737833333333335,False
3DOOQAScRTa3oTszGN3XZg,Todo vuelve a su lugar,48,299973,0,"['Fidel Nadal', 'I Nesta']","['7l2wptrNdI4wEHxTlWa6SS', '2LraTaRLVho6BWao5J0pS0']",2010-11-08,0.624,0.892,7,-4.34,1,0.0622,0.112,0.0,0.0816,0.777,77.974,4,Fidel Nadal,4.99955,False
5gcDBUpj4OpcdalBJFMVAw,Sen Gidiyorsun,43,334524,0,['Gripin'],['3Z814BstLaKbLqKHXsht8O'],2010-03-04,0.585,0.573,9,-6.542,0,0.034,0.394,0.0,0.109,0.209,129.893,4,Gripin,5.5754,False
4WQ1yjmv7oIj8ZxJ5WYQJR,Arrasta - Ao Vivo,47,161240,0,['Gusttavo Lima'],['7MiDcPa6UiV3In7lIM71IN'],2010-09-25,0.658,0.956,2,-2.924,1,0.0559,0.338,0.0,0.796,0.774,102.024,4,Gusttavo Lima,2.687333333333333,False
1gjUBLiGk3MdFksH3aRMax,Freedom Fighters,53,151408,0,"['Thomas Bergersen', 'Two Steps from Hell']","['6BF0bXbsdujMSMeFZBGcBq', '2qvP9yerCZCS0U1gZU8wYp']",2010-05-03,0.315,0.422,3,-12.209,0,0.0389,0.00573,0.94,0.11,0.0386,119.877,4,Thomas Bergersen,2.5234666666666667,False
0weoBV2J1VVaNrjD8h4bLx,Junto A Tu Corazon,44,196040,0,['Miguel Moly'],['597Qn1wBw1ZwHNIzeRxOm8'],2010-01-12,0.802,0.932,7,-6.461,0,0.0289,0.16,6.69e-05,0.208,0.932,125.954,4,Miguel Moly,3.267333333333333,False
44HUMvJfrfSCbkx0djEdnI,Ay Corazón,34,287216,0,['Pata Amarilla'],['3Ukp93gTWP1AnPcDtVBJNX'],2010-02-23,0.342,0.605,11,-8.204,0,0.0388,0.535,0.0,0.123,0.624,85.057,4,Pata Amarilla,4.786933333333334,False
0bx3Ci4yPvow3LK1i0llSQ,Gotas De Lluvia,48,284944,0,['Diablos Locos'],['4VB5hjhR9zb2ZdkShUBGvY'],2010-10-01,0.694,0.751,0,-6.181,1,0.0321,0.238,0.0,0.196,0.799,80.04,4,Diablos Locos,4.749066666666667,False
2lWcmStzB7MbGipxM1l5l6,Porque te fuiste,53,203027,0,['El Polaco'],['3ucYybVr1mTuB04HtoBDCc'],2010-10-11,0.693,0.822,10,-4.891,0,0.0502,0.257,0.0,0.18,0.83,88.74,4,El Polaco,3.383783333333333,False
5xqP5EZ6AbR6mFZL0KlFHE,Psalms No. 34,0,194802,0,['David and the High Spirit'],['7xebq80GPbmJd8fwoJXEIb'],2010-01-03,0.545,0.141,10,-14.031,1,0.043,0.912,2.66e-05,0.111,0.303,79.159,4,David and the High Spirit,3.2467,False
7gPPPmuIBElWb76mHao6Ex,Minä ja hän,34,268467,0,['Jenni Vartiainen'],['6PP1ZiMzBbTeRqGvhr3pV9'],2010-03-29,0.511,0.597,2,-9.64,0,0.0326,0.0757,7.1e-05,0.111,0.444,79.891,4,Jenni Vartiainen,4.47445,False
4kCH4NWOhIBKOH3y1miFxq,Det var jag,43,224038,0,['Familjen'],['1jBFgqfCh0pz5eNIWFvJGQ'],2010-05-05,0.705,0.923,0,-3.864,1,0.032,0.000592,0.0715,0.178,0.896,128.014,4,Familjen,3.733966666666667,False
0ESQDK23IfOdgKGUZ4CNZQ,Mladí Chemici,18,228053,0,['Puding Pani Elvisovej'],['2PO57Eq3pwwCvmJp348fEY'],2010-11-01,0.727,0.846,7,-7.222,0,0.0435,0.0341,0.000114,0.806,0.897,115.057,4,Puding Pani Elvisovej,3.800883333333333,False
2TRI0aot94uqGGGd9b2af4,Unbelievable,38,233000,0,['Kobojsarna'],['2f6nzgQYDhQMVeHgDfuWJy'],2010-02-10,0.72,0.713,0,-6.09,0,0.17,0.0157,0.0,0.163,0.438,129.97,4,Kobojsarna,3.8833333333333333,False
2xN7kAKapeEmgwsNF2Fi5X,Amoreunicoamore,48,243533,0,['Mina'],['3HL1CyOnDLFJo1Rr8YBlKy'],2010-05-25,0.432,0.267,9,-7.845,1,0.0324,0.578,0.0,0.109,0.0682,132.042,4,Mina,4.058883333333333,False
6xLZK1Yt9iBrdfBPBDntYl,Incomprendido,43,219333,0,"['Croni-K', 'Yei', 'Eva Gomez']","['5sK4yZ1bcHlFC73EYAhapP', '5Q2jYH3Qje5epwcKx0nMfF', '6OsSjRUxotaepyvBWsGCYV']",2010-08-30,0.638,0.822,7,-6.977,0,0.0454,0.0742,0.0,0.348,0.755,95.016,4,Croni-K,3.65555,False
2RddJqRIuOorIuAr8xwL67,Freak The Freak Out,44,233920,0,"['Victorious Cast', 'Victoria Justice']","['1KYszkVzlhV3rAqmAcYIgd', '2OTfr6S2kuHRYStjt1IkY6']",2010-11-22,0.688,0.87,5,-3.403,1,0.0785,0.000776,0.0,0.0925,0.516,140.038,4,Victorious Cast,3.8986666666666667,False
0YeGbC2MRIbICavfs01RWQ,Same Rain Falls - 2010 Remaster,2,194627,0,['Robin Trower'],['0MAvx5yzdhylg2ztJC3MD3'],2010-07-26,0.571,0.823,5,-10.502,0,0.0333,0.212,0.00148,0.368,0.74,116.134,4,Robin Trower,3.2437833333333335,False
4DPOKKu036htLAQsnVWF5C,HOLD ON ME [25th Anniversary Version],41,263920,0,['Kahoru Kohiruimaki'],['25AlSzLodlCYZrjU8je4pJ'],2010-09-15,0.614,0.901,8,-4.436,0,0.0322,0.0153,3.53e-05,0.581,0.742,128.975,4,Kahoru Kohiruimaki,4.398666666666666,False
69C7LzStg507cCJiBbRApM,Ngiyalilonda,22,406880,0,['Joyous Celebration'],['6jG7VTyXJjdrVP4jNjDX9W'],2010-04-23,0.286,0.365,2,-8.561,1,0.0357,0.783,0.0,0.118,0.188,116.498,3,Joyous Celebration,6.781333333333333,False
2X7izN6jltQjUfeX0C3AM8,Amazon Rainforest for Sleeping Baby Mp3,39,95452,0,['Sleep Baby Sleep'],['6e5ygqf81ECK33tTPpbLLq'],2010-03-27,0.474,0.163,0,-16.745,1,0.0455,0.986,0.624,0.35,0.312,124.49,4,Sleep Baby Sleep,1.5908666666666667,False
3dt0qnuV3FZjTQN947C7FK,The Art of War,50,308840,0,['Sabaton'],['3o2dn2O0FCVsWDFSh8qxgG'],2010-09-24,0.49,0.82,4,-5.195,1,0.0417,0.0118,1.97e-05,0.103,0.374,84.099,4,Sabaton,5.147333333333333,False
6SmV1Oo24nCZBPzIYkL4HZ,Alter Ego,53,287907,0,['Tame Impala'],['5INjqkS1o8h1imAzPqGZBb'],2010-05-21,0.317,0.846,0,-3.624,1,0.0538,0.0146,0.13,0.1,0.198,129.01,4,Tame Impala,4.79845,False
6AxqSGChkpy8SYeWRdZ7SC,Vim Ja?,31,255933,0,"['PSH', 'James Cole']","['7dC9YWGDFx7AzFyZkLhSo7', '4RefYXMwgQ9ygWvQLmcphN']",2010-01-28,0.697,0.904,10,-3.544,0,0.187,0.0443,0.0,0.237,0.893,88.543,4,PSH,4.26555,False
1kKLjAhCZXIJBaVBbtEkkT,Mi Padre Querido,57,221093,0,['Los Originales De San Juan'],['3aVB3VLnoAn6bKiHOEzHag'],2010-03-29,0.391,0.559,3,-6.371,1,0.197,0.578,0.0,0.138,0.719,178.482,3,Los Originales De San Juan,3.6848833333333335,False
6YMPu36VGIknb8Ey1ohW3j,Loca (feat. Dizzee Rascal),58,193160,0,"['Shakira', 'Dizzee Rascal']","['0EmeFodog0BfCgMzAIvKQp', '0gusqTJKxtU1UTmNRMHZcv']",2010-10-19,0.8,0.874,4,-3.955,0,0.0667,0.186,1.77e-05,0.0877,0.85,112.003,4,Shakira,3.219333333333333,False
28q4OWF6WFx7AFhupyd2Qx,Vassiliki,31,205187,0,"['Nikos Ziogalas', 'Manolis Famellos', 'Nikos Portokaloglou']","['41VO6F1Bl9jOBTCevwZmMR', '4r2mhPGW0RcGGkKkXQ2V2o', '38VfUvRpU0Tn6COM6AvMH0']",2010-05-06,0.558,0.871,4,-5.347,0,0.192,0.0859,0.0,0.867,0.624,128.439,4,Nikos Ziogalas,3.419783333333333,False
1wGjhv27md3YHSFMPqBFWt,Wiosna - ach to ty,42,232813,0,['Marek Grechuta'],['0MGE7m2KV6Db6jOZFy93aD'],2010-12-15,0.628,0.492,11,-13.112,1,0.038,0.517,0.0,0.323,0.931,125.068,4,Marek Grechuta,3.8802166666666666,False
2Kf8ndT78YkvxnbxpUcyPI,Y Tú y Yo (feat. Kany García),41,269000,0,"['Gilberto Santa Rosa', 'Kany Garcia']","['27vNK840zYq6IfDijHPsv1', '69UypehHabb68utzfjAVlV']",2010-06-29,0.476,0.527,8,-6.345,1,0.0367,0.83,0.0,0.115,0.125,139.889,4,Gilberto Santa Rosa,4.483333333333333,False
0s6EziOA3ZQQWoq8p59Fh5,Yesterday (Bossa Version),44,139880,0,['Monique Kessous'],['2iI3XJh51N8lfWhmrO5CFI'],2010-03-31,0.349,0.263,7,-12.831,1,0.0341,0.916,1.55e-06,0.146,0.197,82.097,4,Monique Kessous,2.3313333333333333,False
75agmvZXAzqIvOEqgIOelj,Sarhoş,46,259160,0,['Duman'],['6RTC1abMgBC7Krg6qJQHJh'],2010-07-06,0.637,0.595,4,-7.331,1,0.0348,0.203,3.57e-05,0.0893,0.415,119.172,4,Duman,4.319333333333334,False
2BSn6HQN5JvFsJ2Hhs7aKA,Psalms No. 53,0,107665,0,['David and the High Spirit'],['7xebq80GPbmJd8fwoJXEIb'],2010-01-03,0.416,0.0897,9,-15.829,1,0.0388,0.873,0.000124,0.193,0.259,77.546,3,David and the High Spirit,1.7944166666666668,False
